,index,Aboard,Fatalities,Ground
193,193,2.0,1.0,0.0
194,194,1.0,1.0,0.0
195,195,7.0,7.0,0.0
196,196,1.0,1.0,0.0
197,197,2.0,2.0,0.0
198,198,4.0,4.0,0.0
199,199,8.0,7.0,0.0
200,200,3.0,3.0,0.0
201,201,1.0,1.0,0.0
202,202,1.0,1.0,0.0
203,203,3.0,3.0,0.0
204,204,3.0,2.0,0.0
205,205,5.0,5.0,0.0
206,206,1.0,1.0,0.0
207,207,3.0,3.0,0.0
208,208,16.0,16.0,0.0
209,209,2.0,2.0,0.0
210,210,5.0,5.0,0.0
211,211,1.0,1.0,0.0
212,212,2.0,2.0,0.0
213,213,4.0,4.0,0.0
214,214,4.0,3.0,0.0
215,215,15.0,1.0,0.0
216,216,8.0,5.0,0.0
217,217,5.0,5.0,0.0
218,218,11.0,10.0,0.0
219,219,2.0,2.0,0.0
220,220,3.0,3.0,0.0
221,221,54.0,48.0,0.0
222,222,8.0,8.0,0.0
223,223,4.0,4.0,0.0
224,224,3.0,3.0,0.0
225,225,6.0,3.0,0.0
226,226,1.0,1.0,0.0
227,227,9.0,1.0,0.0
228,228,3.0,3.0,
229,229,6.0,4.0,0.0
230,230,2.0,2.0,0.0
231,231,1.0,1.0,0.0
232,232,1.0,1.0,0.0
233,233,3.0,2.0,0.0
234,234,3.0,1.0,0.0
235,235,8.0,8.0,0.0
236,236,8.0,8.0,0.0
237,237,10.0,2.0,0.0
238,238,2.0,2.0,0.0
239,239,1.0,1.0,0.0
240,240,1.0,1.0,0.0
241,241,4.0,4.0,0.0
242,242,3.0,2.0,0.0
243,243,4.0,4.0,0.0
244,244,2.0,2.0,0.0
245,245,2.0,2.0,0.0
246,246,1.0,1.0,0.0
247,247,7.0,7.0,0.0
248,248,6.0,6.0,0.0
249,249,1.0,1.0,0.0
250,250,4.0,4.0,0.0
251,251,3.0,3.0,0.0
252,252,3.0,3.0,0.0
253,253,5.0,5.0,0.0
254,254,3.0,3.0,0.0
255,255,1.0,1.0,0.0
256,256,3.0,3.0,0.0
257,257,1.0,1.0,0.0
258,258,6.0,2.0,0.0
259,259,7.0,5.0,0.0
260,260,2.0,2.0,0.0
261,261,5.0,4.0,0.0
262,262,1.0,1.0,0.0
263,263,8.0,8.0,0.0
264,264,5.0,5.0,0.0
265,265,1.0,1.0,0.0
266,266,2.0,1.0,0.0
267,267,3.0,3.0,0.0
268,268,5.0,2.0,0.0
269,269,7.0,7.0,0.0
270,270,1.0,1.0,0.0
271,271,3.0,3.0,0.0
272,272,1.0,1.0,0.0
273,273,1.0,1.0,0.0
274,274,2.0,2.0,0.0
275,275,3.0,3.0,0.0
276,276,9.0,9.0,0.0
277,277,7.0,1.0,0.0
278,278,2.0,2.0,0.0
279,279,4.0,3.0,0.0
280,280,2.0,1.0,0.0
281,281,3.0,3.0,0.0
282,282,1.0,1.0,0.0
283,283,2.0,2.0,0.0
284,284,2.0,2.0,0.0
285,285,5.0,5.0,0.0
286,286,2.0,2.0,0.0
287,287,2.0,2.0,0.0
288,288,1.0,1.0,0.0
289,289,2.0,2.0,0.0
290,290,1.0,1.0,0.0
291,291,2.0,2.0,0.0
292,292,1.0,1.0,0.0
293,293,1.0,1.0,0.0
294,294,3.0,1.0,0.0
295,295,2.0,2.0,0.0
296,296,3.0,3.0,11.0
297,297,15.0,15.0,0.0
298,298,2.0,1.0,0.0
299,299,76.0,73.0,0.0
300,300,6.0,6.0,0.0
301,301,4.0,4.0,0.0
302,302,6.0,6.0,0.0
303,303,1.0,1.0,0.0
304,304,5.0,5.0,0.0
305,305,8.0,8.0,0.0
306,306,10.0,10.0,0.0
307,307,2.0,2.0,0.0
308,308,9.0,4.0,
309,309,1.0,1.0,0.0
310,310,8.0,8.0,
311,311,20.0,14.0,0.0
312,312,2.0,2.0,0.0
313,313,8.0,7.0,0.0
314,314,6.0,4.0,0.0
